dataset_name,eeg_class,tasks,Detailled task,Task Structure,Stimulation,Task,Timing,Population Age,Population Health,Study Type,Output,n_subjects,Description,Url,n_sessions_per_subject,n_recordings,n_classes,class_labels,manufacturer,device_model,electrode_type,cited_paper_year,citation_count
AlexMI,MI,(right hand; feet; or rest).,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,AgeUnknow,Healthy,BCI,,8,,,1,8,3,feet | rest | right_hand,g.tec,g.USBamp,wet,,30
BI2014a,P300,target vs standard,,SingleTask,Visual,PerceptionVisual;Attention;,Reactive;Synchronous,Adult,Healthy,BCI,,64,Brain Invaders 36 symbols,,1,64,2,NonTarget | Target,g.tec,g.USBamp,dry,,20
BI2014b,P300,target vs standard,speller en duo,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,Adult,Healthy,BCI,,38,Brain Invaders 36 symbols,,1,38,2,NonTarget | Target,g.tec,g.USBamp,wet,,15
BI2015a,P300,target vs standard,variation of ISI,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,Adult,Healthy,BCI;Social Interaction,,43,Brain Invaders 36 symbols,,1,129,2,NonTarget | Target,g.tec,g.USBamp,wet,,15
BI2015b,P300,target vs standard,Collab vs competition,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,Adult,Healthy,BCI;Social Interaction,,44,Brain Invaders 36 symbols,,1,44,2,NonTarget | Target,g.tec,g.USBamp,wet,,10
Cho2017,MI,left vs right hand ,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,AgeUnknow,Healthy,BCI,,49,,,1,49,2,left_hand | right_hand,BioSemi,ActiveTwo,wet,2017,317
ICARE,Clinical,Cardiac and cerebral performance,,No,No,No task,Passive,Adult,Unhealthy;Cardiac,Clinical,,484,,https://physionet.org/content/i-care/2.1/,1,24833,1,N/A (continuous EEG),Mix,Mix,wet,,50
Inria_Large,MI,left vs right hand ,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Healthy,BCI,,87,,https://www.nature.com/articles/s41597-023-02445-z#Sec2,1,694,2,left_hand | right_hand,g.tec,g.USBamp,wet,2023,31
Kalunga2016,SSVEP,Led 13Hz; 17Hz and 21Hz+ Rest,,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,AgeUnknow,Healthy,BCI,,12,,https://pdf.sciencedirectassets.com/271597/1-s2.0-S0925231216X00148/1-s2.0-S0925231216000540/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEEoaCXVzLWVhc3QtMSJGMEQCIBYAyLpOCR%2BVRUg6knvbEEh4IXQTtVbfjYDnAK6NapSiAiB9TB3bu5%2B8%2FxHXm5DvazuJBxnRaJEmXRAMBLILwVK21iqyBQgSEAUaDDA1OTAwMzU0Njg2NSIMpC5EcQdIX3ftHGmTKo8F1Bz13rCu21idZmjEYSI9o%2Btlke%2B9NvOkFaO5RE4o2PgqIki8e8Iz%2F8wKFvXgoD3YP02OaqHL7vHbpf40RYotYNuwAZjHgRAOyeRjLWCE0yndNeNsanWDiayvrtQAHzA51KxpnmBnKJANZy5tkNxsbCuYzExbpVX5VNAPnJNsS6GFP3rZlgYVrooIlMftPYB46botssiqK4vjLF1xoXgEOY1fZFVXt2QEhuuAD5gf0c7ZBYdykSIrF84y7SVPVRB4QBqy2jyVgsgKZo24Ru8p1YlHccWSmICfFgDJvBRDSdCqwVRoigU78IrDLS8t2mUVLlUl4fNtrcYQmJNopLtmoF0QfGHNCMx3EMa7jMFFBiW5n3aq8EVhxsuhBJ6YvkIkc0g1CoMYOrjbf0t3d0qwhthG47QQxsSuKvvZNnQVuHZwdiSNwbdzFste0434Nu1uMvzyB3xnbYWBViefsD4s9bWFjw0dzFLIXVobOK7wpGvPseepl60YuZgBwefhpyTPUEtKDy5%2B8NnrqLaV05y6KyVpqVQ5sdP88mvoDlAfEQZLA1RqPbdXSApQyIpbc1p%2B6pfaRVWdahcdKdh4kA7%2BM2XsX1J%2F6DWn1ZbNmWXH0UdoVydoLe4i%2F7IWZL1551upR6Q1rl5tgcalYw%2F3if10uHHZXvbtfSncfPH4h5v0m%2Fxrhs%2FyylBJAEtrFUvGnxX%2BvQyHDnS9muUhzKG%2BgwBOpuP2GG5TouEvO0NSltKz6lkzBTcknE9FID4Vrvym%2BZnYsOEAQ3aXQS%2Flwp06r7QU2foUKJXcCS6C7Fd790%2BaT5jOCaMrlmpe7lytd0xbdp7Sfg%2BA8ovaLqpKD7%2FxUKLgka92ma22n6eYJk55dHY8DjD0uYbQBjqyAXCxDLh0ixCVw%2BT9Ws%2Fns6xvp%2Fu%2FrjAVE7u0Sadmgo2seGUHM%2B35UVrqfxBT4VqtdgkQDONSHhPbeU9A74TUL45KlTbuJXjrCbVAdVEVadRr0d2h4VscL9iND7sJxzbQmP8mu7%2FN4NYshRqJHtghTVsjVHMdi8qN7ZGICRNIQOyT0L64q32%2FEpQgHITukMhZt2w4O%2Bxga2dIRbOO6NQcORqu%2Bp9uZPG6NDQFJMjfJvvBUOs%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260511T101016Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3XWANB64%2F20260511%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1df0a2d2d59a2ccde787a4a92f4fb8c1f6cfaec645e0f93e926552a85fc19732&hash=ef1bffd793cb409699ba1e224d5c2e3bd5c3f7a060914b801832ea0c67cca5c2&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0925231216000540&tid=spdf-5e33a0db-b401-4b03-bc6b-0cea1ccb3bac&sid=4ca3b3a764a5094b9b185f91c9073d978183gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=00145b05035259505a54&rr=9fa064955ead1bec&cc=fr&kca=eyJrZXkiOiJSQjdkWnFIVHhINEFCT3FNQ2l5U0R5cWpPWEZ0TnRZSFVVSXJVUjZHdW03cjdUSE9YbGxDQnBhYmVyZU9YWS9ZOUZGSUU4NnJDcURzZVZ2K2F6RHYrS3o2L3VrYXZzOFhoYW5JZ2F1dVBYZkhRTnVOZWhpdjI5RmtQUXFscVRJaGp2SFBOcFZFR05wUkQrOG5lMXNjUDI3UXk3TGxGQjZqUjZzSko3ZDgrQUVGdkZsYSIsIml2IjoiYWU5YWUwZmJlMGE0MTQxMTZiYTI3Y2FlMDNmYTEzOGEifQ==_1778494225612,1,12,4,13 | 17 | 21 | rest,g.tec,MobiLab amp,?,,15
Lee2019_ERP,P300,target vs standard,,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,Adult,Healthy,BCI,,36,Speller,,1,108,2,NonTarget | Target,Brain Products,BrainAmp,wet,2019,542
